song_id,artist,title,status,skip_reason
plain-white-t-s__our-time-is-now,Plain White T's,Our Time 'Is' Now,skipped,no_original_lyrics
portugal-the-man__everything-you-see-kids-count-hallelujahs,Portugal. The Man,Everything You See (Kids Count Hallelujahs),skipped,no_original_lyrics
prescott__dixie-dixie-where-have-you-been-all-my-life,Prescott,Dixie Dixie Where Have You Been All My Life,skipped,no_original_lyrics
prescott__hurt-nobody,Prescott,Hurt Nobody,skipped,no_original_lyrics
radney-foster-and-the-confessions__until-it-s-gone,Radney Foster And The Confessions,Until It's Gone,skipped,no_original_lyrics
ralph-myerz-and-the-jack-herren-band__boombox-breakdown,Ralph Myerz and The Jack Herren Band,Boombox Breakdown,skipped,no_original_lyrics
ralph-myrez-and-the-jack-herren-band__wind-it-up,Ralph Myrez and the Jack Herren Band,Wind It Up,skipped,no_original_lyrics
ranetki-girls__ona-odna-she-s-alone,Ranetki Girls,Ona Odna (She's Alone),skipped,no_original_lyrics
rise-against__savior,Rise Against,Savior,skipped,no_original_lyrics
rod-abernathy__downjazz,Rod Abernathy,Downjazz,skipped,simlish_original_no_english
rod-abernathy__high-nrg,Rod Abernathy,High Nrg,skipped,simlish_original_no_english
roni__never-coming-back,Roni,Never Coming Back,skipped,no_original_lyrics
sandunes-ft-ramya-pothuri__ghosts,Sandunes ft. Ramya Pothuri,Ghosts,skipped,no_original_lyrics
saving-jane__girl-next-door,Saving Jane,Girl Next Door,skipped,no_original_lyrics
scary-kids-scaring-kids__snake-devil,Scary Kids Scaring Kids,Snake Devil,skipped,no_original_lyrics
shock-of-pleasure__this-is-a-test,Shock of Pleasure,This Is A Test,skipped,no_original_lyrics
skye-sweetnam__boyhunter,Skye Sweetnam,Boyhunter,skipped,no_original_lyrics
solidstate-deluxe__truly,SolidState Deluxe,Truly,skipped,no_original_lyrics
something-for-rockets__i-never-know,Something for Rockets,I Never Know,skipped,no_original_lyrics
soulja-boy__speakers-going-hammer,Soulja Boy,Speakers Going Hammer,skipped,no_original_lyrics
steadman__come-on,Steadman,Come On,skipped,no_original_lyrics
stefanie-heinzmann__no-one-can-ever-change-my-mind,Stefanie Heinzmann,No One (Can Ever Change My Mind),skipped,no_original_lyrics
stevie-q__cow-bay,Stevie Q,Cow Bay,skipped,no_original_lyrics
stevie-q__wonder-why,Stevie Q,Wonder Why,skipped,no_original_lyrics
stop-and-think__the-white-room,Stop and Think,The White Room,skipped,no_original_lyrics
sunny-day-sets-fire__brainless,Sunny Day Sets Fire,Brainless,skipped,no_original_lyrics
tally-hall__good-day,Tally Hall,Good Day,skipped,no_original_lyrics
tanaila__wow-wow-wow,Tanaila,Wow Wow Wow,skipped,no_original_lyrics
tata-young__zoom,Tata Young,Zoom,skipped,no_original_lyrics
the-acorn__restoration,The Acorn,Restoration,skipped,no_original_lyrics
the-breadbox-band__n,The Breadbox Band,N,skipped,no_original_lyrics
the-chris-mccarty-band__the-next-one,The Chris McCarty Band,The Next One,skipped,no_original_lyrics
the-comas__come-my-sunshine,The Comas,Come My Sunshine,skipped,no_original_lyrics
the-constellations__setback,The Constellations,Setback,skipped,no_original_lyrics
the-dawn-of-dar__moonbeam-beach,The Dawn of Dar,Moonbeam Beach,skipped,no_original_lyrics
the-dawn-of-dar__stardust-temple,The Dawn of Dar,Stardust Temple,skipped,no_original_lyrics
the-daylights__outsider,The Daylights,Outsider,skipped,no_original_lyrics
the-films__black-shoes,The Films,Black Shoes,skipped,no_original_lyrics
the-flaming-lips__free-radicals,The Flaming Lips,Free Radicals,skipped,no_original_lyrics
the-format__the-compromise,The Format,The Compromise,skipped,no_original_lyrics
the-netw0rk__topy-apa-ty,The Netw0rk,Topy Apa Ty,skipped,simlish_original_no_english
the-new-amsterdams__turn-out-the-light,The New Amsterdams,Turn Out the Light,skipped,no_original_lyrics
the-perishers__sway,The Perishers,Sway,skipped,no_original_lyrics
the-pussycat-dolls__don-t-cha,The Pussycat Dolls,Don't Cha,skipped,no_original_lyrics
the-ready-set__more-than-alive,The Ready Set,More Than Alive,skipped,no_original_lyrics
the-smokebreakers__baby-let-s-dance,The Smokebreakers,Baby Let's Dance,skipped,no_original_lyrics
the-string-cheese-incident__close-your-eyes,The String Cheese Incident,Close Your Eyes,skipped,no_original_lyrics
the-unicorn-hunter__into-the-crystal,The Unicorn Hunter,Into The Crystal,skipped,no_original_lyrics
the-unicorn-hunter__tears-of-the-dolphin-dream,The Unicorn Hunter,Tears of the Dolphin Dream,skipped,no_original_lyrics
the-veronicas__when-it-all-falls-apart,The Veronicas,When It All Falls Apart,skipped,no_original_lyrics
the-whip__divebomb,The Whip,Divebomb,skipped,no_original_lyrics
the-young-punx-vs-the-camden-choral-collective__in-the-bleak-midwinter,The Young Punx vs The Camden Choral Collective,In the Bleak Midwinter,aligned,
the-young-punx__juice-and-sim,The Young Punx!,Juice And Sim,skipped,no_original_lyrics
they-might-be-giants__take-out-the-trash,They Might Be Giants,Take Out The Trash,skipped,no_original_lyrics
toni-braxton__make-my-heart,Toni Braxton,Make My Heart,skipped,no_original_lyrics
touchstone__simpatico,Touchstone,Simpatico,skipped,no_original_lyrics
travie-mccoy__need-you,Travie McCoy,Need You,skipped,no_original_lyrics
uh-huh-her__not-a-love-song,Uh Huh Her,Not A Love Song,skipped,no_original_lyrics
v-v-brown__shark-in-the-water,V V Brown,Shark In The Water,skipped,no_original_lyrics
valhalla-von__another-solar-visitation,Valhalla Von,Another Solar Visitation,skipped,no_original_lyrics
valhalla-von__ashwagandha-air-cycle,Valhalla Von,Ashwagandha Air Cycle,skipped,no_original_lyrics
vanilla-sky__on-on,Vanilla Sky,On & On,skipped,no_original_lyrics
violent-soho__jesus-stole-my-girlfriend,Violent Soho,Jesus Stole My Girlfriend,skipped,no_original_lyrics
w-of-p3-aff__wubbas-doo,W of P3 Aff,Wubbas Doo,skipped,simlish_original_no_english
wainwright__can-t-believe-my-eyes,Wainwright,Can't Believe My Eyes,skipped,no_original_lyrics
west-end-girls__booglurbia,West End Girls,Booglurbia,skipped,simlish_original_no_english
yoasobi__harujion,YOASOBI,Harujion,skipped,no_original_lyrics
moe__blue-jeans-pizza,moe.,Blue Jeans Pizza,skipped,no_original_lyrics
